Name,Genus,Species,Kingdom,Subphylum,Class,Order,Family,Attributes
Rufous-lored tyrannulet,Phylloscartes,Phylloscartes flaviventris,Animalia,0,Aves,Passeriformes,Tyrannidae,"Terrestrial,Not a migrant,starts with"
Papuan white-eye,Zosterops,Zosterops novaeguineae,Animalia,0,Aves,Passeriformes,Zosteropidae,"Terrestrial,Not a migrant,starts with"
Rusty thicketbird,Megalurulus,Cincloramphus rubiginosus,Animalia,0,Aves,Passeriformes,Locustellidae,"Terrestrial,Not a migrant,starts with"
Sooty myzomela,Myzomela,Myzomela tristrami,Animalia,0,Aves,Passeriformes,Meliphagidae,"Terrestrial,Not a migrant,starts with"
Tawny-breasted myiobius,Myiobius,Myiobius villosus,Animalia,0,Aves,Passeriformes,Tityridae,"Terrestrial,Not a migrant,starts with"
Negros leaf warbler,Phylloscopus,Phylloscopus nigrorum,Animalia,0,Aves,Passeriformes,Phylloscopidae,starts with
Andean tit-spinetail,Leptasthenura,Leptasthenura andicola,Animalia,0,Aves,Passeriformes,Furnariidae,"Terrestrial,Not a migrant,starts with"
Brown-breasted bamboo tyrant,Hemitriccus,Hemitriccus obsoletus,Animalia,0,Aves,Passeriformes,Tyrannidae,"Terrestrial,Not a migrant,starts with"
Handsome flycatcher,Nephelomyias,Nephelomyias pulcher,Animalia,0,Aves,Passeriformes,Tyrannidae,"Terrestrial,Not a migrant,starts with"
Lompobattang flycatcher,Ficedula,Ficedula bonthaina,Animalia,0,Aves,Passeriformes,Muscicapidae,"Terrestrial,Not a migrant,starts with"
Mottled flowerpecker,Dicaeum,Dicaeum tristrami,Animalia,0,Aves,Passeriformes,Dicaeidae,"Terrestrial,Not a migrant,starts with"
Plain inezia,Inezia,Inezia inornata,Animalia,0,Aves,Passeriformes,Tyrannidae,"Terrestrial,Migrating,starts with"
Sharp-billed canastero,Asthenes,Asthenes pyrrholeuca,Animalia,0,Aves,Passeriformes,Furnariidae,"Terrestrial,Migrating,starts with"
Lynes's cisticola,Cisticola,Cisticola distinctus,Animalia,0,Aves,Passeriformes,Cisticolidae,starts with
